"Date(UTC)","BurntFees"
"06/24/2021","644.214334580954"
"06/25/2021","957.609241348125"
"06/26/2021","783.582322570437"
"06/27/2021","611.508576274919"
"06/28/2021","368.404981006554"
"06/29/2021","2029.17422909265"
"06/30/2021","614.609967663893"
"07/01/2021","333.404218838082"
"07/02/2021","423.998247385596"
"07/03/2021","737.579731690311"
"07/04/2021","498.07393692892"
"07/05/2021","526.10677768675"
"07/06/2021","590.926181640428"
"07/07/2021","1379.8629045142"
"07/08/2021","867.447609160155"
"07/09/2021","643.134791063624"
"07/10/2021","431.892889489165"
"07/11/2021","462.37319967017"
"07/12/2021","568.570260444693"
"07/13/2021","517.27682617929"
"07/14/2021","578.966987531616"
"07/15/2021","505.329503736775"
"07/16/2021","545.65734461825"
"07/17/2021","470.6355245915"
"07/18/2021","409.171851491883"
"07/19/2021","440.037615901669"
"07/20/2021","441.047598452924"
"07/21/2021","466.562947818044"
"07/22/2021","409.935163668935"
"07/23/2021","457.2504808245"
"07/24/2021","408.4148712015"
"07/25/2021","380.327676689"
"07/26/2021","588.633407702695"
"07/27/2021","492.364365653134"
"07/28/2021","532.602094773357"
"07/29/2021","609.774479824919"
"07/30/2021","511.939133920038"
"07/31/2021","389.905819803125"
"08/01/2021","436.172734532838"
"08/02/2021","486.24862253325"
"08/03/2021","465.091858507917"
"08/04/2021","416.82223673075"
"08/05/2021","401.009880854795"
"08/06/2021","494.229343314852"
"08/07/2021","436.245463615397"
"08/08/2021","360.535153781558"
"08/09/2021","527.287887698607"
"08/10/2021","1406.53403259225"
"08/11/2021","4339.56300939561"
"08/12/2021","2169.56769555983"
"08/13/2021","1168.66795961281"
"08/14/2021","738.270225874359"
"08/15/2021","639.663213118651"
"08/16/2021","983.266204844553"
"08/17/2021","1292.88286934877"
"08/18/2021","1520.59173787199"
"08/19/2021","2811.90585617131"
"08/20/2021","3090.04812267526"
"08/21/2021","5292.88479298759"
"08/22/2021","3114.98400305184"
"08/23/2021","4254.35101227269"
"08/24/2021","4214.52757723001"
"08/25/2021","4351.44534905478"
"08/26/2021","4031.12640790486"
"08/27/2021","5678.16658993476"
"08/28/2021","4202.03036888406"
"08/29/2021","3008.21885451261"
"08/30/2021","2989.86444769858"
"08/31/2021","2208.57311550757"
"09/01/2021","2002.25654874074"
"09/02/2021","3190.85654837193"
"09/03/2021","2075.18203589473"
"09/04/2021","1726.96713364881"
"09/05/2021","1463.55695903854"
"09/06/2021","2121.77153780116"
"09/07/2021","3182.3321774526"
"09/08/2021","2248.85328316243"
"09/09/2021","3391.25262157995"
"09/10/2021","5669.89738723458"
"09/11/2021","4461.480987435"
"09/12/2021","4576.88927602361"
"09/13/2021","3121.96919343504"
"09/14/2021","2505.39353921619"
"09/15/2021","4311.46804309231"
"09/16/2021","4067.34511150264"
"09/17/2021","2715.23588601796"
"09/18/2021","2822.44636327861"
"09/19/2021","2667.66988394388"
"09/20/2021","6823.45292759887"
"09/21/2021","3104.89998701283"
"09/22/2021","2512.81300247037"
"09/23/2021","1627.67271705529"
"09/24/2021","1536.02741341599"
"09/25/2021","1063.35342237262"
"09/26/2021","1046.73156862341"
"09/27/2021","1253.04150749573"
"09/28/2021","982.401643102657"
"09/29/2021","1250.06123745938"
"09/30/2021","1152.70815288635"
"10/01/2021","1064.76828776105"
"10/02/2021","1035.88801975223"
"10/03/2021","1372.55989403118"
"10/04/2021","2091.29747326099"
"10/05/2021","6651.11217762083"
"10/06/2021","1556.72811089498"
"10/07/2021","1241.53645378204"
"10/08/2021","1294.16025299431"
"10/09/2021","952.804128745726"
"10/10/2021","1413.01974391719"
"10/11/2021","1441.64572675926"
"10/12/2021","1611.36027961998"
"10/13/2021","1185.299958027"
"10/14/2021","1041.61554583051"
"10/15/2021","1362.91407933447"
"10/16/2021","1011.99276756312"
"10/17/2021","930.489790677015"
"10/18/2021","1167.4240577101"
"10/19/2021","1028.07807907337"
"10/20/2021","1850.95477102767"
"10/21/2021","1616.11636326628"
"10/22/2021","2444.46132228224"
"10/23/2021","1669.99299920456"
"10/24/2021","1476.22935789323"
"10/25/2021","1730.84524825388"
"10/26/2021","2430.77596304669"
"10/27/2021","1764.12149359915"
"10/28/2021","1394.15882671172"
"10/29/2021","1250.90444458503"
"10/30/2021","1086.01414098385"
"10/31/2021","1288.68794377041"
"11/01/2021","1412.08860059959"
"11/02/2021","1371.40037178776"
"11/03/2021","1541.56531188199"
"11/04/2021","1686.7336805292"
"11/05/2021","1615.31155189474"
"11/06/2021","1746.85063403937"
