Date(UTC),UnixTimeStamp,Gas Used nAvax,Month,Year,Transactions,Gas Used Avax,,,,,,,,,
1/24/21,1611446400,126000,January,2021,6,0.000126,,,,,,,,,
1/25/21,1611532800,650285997,January,2021,1014,0.650285997,,,,,,,,,
1/26/21,1611619200,373118388,January,2021,588,0.373118388,,,,,,,,,
1/27/21,1611705600,40058618,January,2021,123,0.040058618,,,,,,,,,
1/28/21,1611792000,43148787,January,2021,126,0.043148787,,,,,,,,,
1/29/21,1611878400,1055954171,January,2021,1787,1.055954171,,,,,,,,,
1/30/21,1611964800,42524172,January,2021,231,0.042524172,,,,,,,,,
1/31/21,1612051200,7292112,January,2021,121,0.007292112,,,,,,,,,
2/1/21,1612137600,39275553,February,2021,91,0.039275553,,,,,,,,,
2/2/21,1612224000,145846126,February,2021,369,0.145846126,,,,,,,,,
2/3/21,1612310400,614487289,February,2021,5986,0.614487289,,,,,,,,,
2/4/21,1612396800,422941996,February,2021,4386,0.422941996,,,,,,,,,
2/5/21,1612483200,306240419,February,2021,3173,0.306240419,,,,,,,,,
2/6/21,1612569600,247331503,February,2021,2629,0.247331503,,,,,,,,,
2/7/21,1612656000,277090779,February,2021,2824,0.277090779,,,,,,,,,
2/8/21,1612742400,314770690,February,2021,3166,0.31477069,,,,,,,,,
2/9/21,1612828800,3744062530,February,2021,15913,3.74406253,,,,,,,,,
2/10/21,1612915200,2371225451,February,2021,27292,2.371225451,,,,,,,,,
2/11/21,1613001600,44969160,February,2021,667,0.04496916,,,,,,,,,
2/12/21,1613088000,925342210,February,2021,9225,0.92534221,,,,,,,,,
2/13/21,1613174400,889706929,February,2021,9248,0.889706929,,,,,,,,,
2/14/21,1613260800,938379202,February,2021,9706,0.938379202,,,,,,,,,
2/15/21,1613347200,1580968815,February,2021,17431,1.580968815,,,,,,,,,
2/16/21,1613433600,1317667664,February,2021,14872,1.317667664,,,,,,,,,
2/17/21,1613520000,2226360187,February,2021,24535,2.226360187,,,,,,,,,
2/18/21,1613606400,2794285197,February,2021,29914,2.794285197,,,,,,,,,
2/19/21,1613692800,2250144280,February,2021,23590,2.25014428,,,,,,,,,
2/20/21,1613779200,1885704826,February,2021,20400,1.885704826,,,,,,,,,
2/21/21,1613865600,1441372425,February,2021,16425,1.441372425,,,,,,,,,
2/22/21,1613952000,1470497678,February,2021,15299,1.470497678,,,,,,,,,
2/23/21,1614038400,1137764629,February,2021,11682,1.137764629,,,,,,,,,
2/24/21,1614124800,1220760520,February,2021,14016,1.22076052,,,,,,,,,
2/25/21,1614211200,2095370130,February,2021,24652,2.09537013,,,,,,,,,
2/26/21,1614297600,1303122831,February,2021,15351,1.303122831,,,,,,,,,
2/27/21,1614384000,1315335873,February,2021,15961,1.315335873,,,,,,,,,
2/28/21,1614470400,1379841471,February,2021,17546,1.379841471,,,,,,,,,
3/1/21,1614556800,1405223346,March,2021,16275,1.405223346,,,,,,,,,
3/2/21,1614643200,1463666228,March,2021,17223,1.463666228,,,,,,,,,
3/3/21,1614729600,2597776231,March,2021,27579,2.597776231,,,,,,,,,
3/4/21,1614816000,2637147752,March,2021,25625,2.637147752,,,,,,,,,
3/5/21,1614902400,1225698012,March,2021,11818,1.225698012,,,,,,,,,
3/6/21,1614988800,990033753,March,2021,10104,0.990033753,,,,,,,,,
3/7/21,1615075200,1146676516,March,2021,11878,1.146676516,,,,,,,,,
3/8/21,1615161600,1213173060,March,2021,13951,1.21317306,,,,,,,,,
3/9/21,1615248000,2005771339,March,2021,21101,2.005771339,,,,,,,,,
3/10/21,1615334400,1637695373,March,2021,16366,1.637695373,,,,,,,,,
3/11/21,1615420800,1554312541,March,2021,14526,1.554312541,,,,,,,,,
3/12/21,1615507200,1645013160,March,2021,15436,1.64501316,,,,,,,,,
3/13/21,1615593600,1477537520,March,2021,14114,1.47753752,,,,,,,,,
3/14/21,1615680000,1764208686,March,2021,16349,1.764208686,,,,,,,,,
3/15/21,1615766400,1828342883,March,2021,16746,1.828342883,,,,,,,,,
3/16/21,1615852800,2036578439,March,2021,18170,2.036578439,,,,,,,,,
3/17/21,1615939200,1816764893,March,2021,16103,1.816764893,,,,,,,,,
