dateDayStr,newTransactionSeen,newTrigger,trx_transfer,trc10_transfer,freeze_and_unfreeze_transaction,vote_transaction,other_transaction
2018-11-14,1124869,970257,53263,63249,3592,7244,27264
2018-11-15,1283827,1013710,55455,162454,3920,7316,40972
2018-11-16,1648380,1415714,52178,119332,6600,6339,48217
2018-11-17,1400500,1181952,56811,101458,4127,7405,48747
2018-11-18,1423830,1120036,57310,181701,3744,7337,53702
2018-11-19,1562891,1221481,62773,218347,3760,7249,49281
2018-11-20,1124728,915898,56981,116197,3563,7013,25076
2018-11-21,1276558,1062013,56409,120901,4895,6625,25715
2018-11-22,1581344,1287446,52877,206066,4589,6292,24074
2018-11-23,1842497,1660864,48221,103348,4969,6456,18639
2018-11-24,1572113,1388303,43579,113136,3574,6225,17296
2018-11-25,1649642,1439273,44068,128554,3586,6427,27734
2018-11-26,1662417,1467887,42757,118564,3664,6509,23036
2018-11-27,1916377,1692525,43330,142314,3668,5986,28554
2018-11-28,1833994,1685332,49385,66993,3776,6799,21709
2018-11-29,1914219,1764499,53717,58442,3799,7396,26366
2018-11-30,1824047,1654522,60356,66635,3344,6863,32327
2018-12-01,2394042,1535339,52800,770362,3404,6446,25691
2018-12-02,1757823,1565870,52975,93988,3466,6299,35225
2018-12-03,1699986,1536744,50130,71508,3220,5356,33028
2018-12-04,1668909,1502469,51048,70711,3563,6471,34647
2018-12-05,1964814,1767346,50249,112261,3191,6140,25627
2018-12-06,2038814,1903097,40442,64622,3268,6081,21304
2018-12-07,1976275,1841366,39612,70044,3048,5640,16565
2018-12-08,2147318,1999528,50259,65875,3480,6601,21575
2018-12-09,2113814,1945117,46575,92428,3373,7801,18520
2018-12-10,2422212,2227190,53311,109041,3515,6198,22957
2018-12-11,2377191,2202148,49150,95905,3477,7120,19391
2018-12-12,2331965,2185653,47600,73473,3228,6594,15417
2018-12-13,2538912,2347868,60557,102566,3400,7044,17477
2018-12-14,2646606,2490183,54727,59437,3205,5964,33090
2018-12-15,2891957,2730218,54559,69091,3054,6333,28702
2018-12-16,3008605,2835958,54032,91717,3505,6582,16811
2018-12-17,2794510,2634289,85449,52496,3545,6165,12566
2018-12-18,2709221,2552757,64735,67920,3394,6351,14064
2018-12-19,1819475,1589133,99713,109860,3534,6576,10659
2018-12-20,3094916,2872871,81177,120601,3429,6881,9957
2018-12-21,3327909,3100281,115682,87874,3879,6693,13500
2018-12-22,2632501,2447612,81309,80976,3111,6225,13268
2018-12-23,3324858,3124093,86885,92283,3444,7788,10365
2018-12-24,2692597,2418166,111008,140240,3702,6925,12556
2018-12-25,2438726,2184469,79415,154504,2972,5555,11811
2018-12-26,2493778,2287157,82787,97580,3231,11234,11789
2018-12-27,2306817,2161791,75557,51500,3121,5924,8924
2018-12-28,2427579,2193141,81081,92202,3301,47641,10213
2018-12-29,2580474,2354720,84734,73170,3165,54362,10323
2018-12-30,2764570,2558317,81571,60192,3062,53077,8351
2018-12-31,2803440,2550545,83419,106132,2906,52287,8151
2019-01-01,2632014,2412706,81626,70237,3007,52560,11878
2019-01-02,2683585,2465465,89074,61576,3420,53841,10209
2019-01-03,2412216,2207823,94764,44740,3724,53795,7370
2019-01-04,2650144,2422109,105629,55849,3676,52684,10197
2019-01-05,2459499,2242871,113423,40152,3466,53520,6067
2019-01-06,2158598,1954678,106985,34753,3482,53670,5030
2019-01-07,1930231,1712667,123766,30581,3494,53350,6373
2019-01-08,2069711,1799279,151517,51591,4116,53746,9462
2019-01-09,1848487,1592150,144887,45322,4447,54739,6942
2019-01-10,1816490,1598102,157744,28666,4411,19733,7834
2019-01-11,2346641,2109894,131607,34034,3956,57621,9529
2019-01-12,2557078,2295144,138304,44886,3653,66456,8635
2019-01-13,2755571,2453484,129874,82227,3884,77128,8974
2019-01-14,2850787,2562844,116521,63631,3921,93324,10546
2019-01-15,3026627,2699265,116067,102138,3964,97686,7507
2019-01-16,3551271,3246367,135090,136855,4035,21489,7435
2019-01-17,3316527,3006991,156067,136673,3635,6480,6681
2019-01-18,2944251,2685004,149558,84390,4203,6553,14543
2019-01-19,2701900,2471742,128739,81935,3247,6559,9678
2019-01-20,2392632,2144744,143065,74039,3490,6680,20614
2019-01-21,2075600,1872556,130607,54009,3771,6467,8190
2019-01-22,2116233,1918046,133891,47085,3884,6288,7039
2019-01-23,2476948,2279850,129557,51726,3614,5994,6207
2019-01-24,2315896,2112798,137101,46367,6699,6196,6735
2019-01-25,2103424,1911301,133004,40058,6178,6532,6351
2019-01-26,2554743,2374843,124295,39047,3798,6868,5892
2019-01-27,2279448,2053996,166554,41609,4259,6615,6415
2019-01-28,1810520,1586884,169394,37190,4158,6853,6041
2019-01-29,1864864,1583955,227715,38874,3505,5803,5012
2019-01-30,2017029,1717126,244487,40740,3288,6513,4875
2019-01-31,2032413,1693500,235936,86276,3380,6488,6833
2019-02-01,2081296,1805385,202518,59060,3303,5935,5095
2019-02-02,1966880,1674775,206920,70799,3216,6589,4581
2019-02-03,1939601,1642140,218617,63802,3186,6158,5698
2019-02-04,1757246,1469125,220803,51880,3389,5781,6268
2019-02-05,1631543,1360556,209971,46801,3469,5657,5089
2019-02-06,1659158,1363257,211321,71260,3255,5870,4195
2019-02-07,1640853,1362336,211566,53569,2938,6025,4419
2019-02-08,1587190,1305635,212128,55718,3125,5610,4974
2019-02-09,2034244,1484469,178171,357373,3827,5864,4540
2019-02-10,1500780,1352334,86241,44544,6037,6780,4844
2019-02-11,1720934,1216455,92219,392530,5642,8263,5825
2019-02-12,1420915,1234800,81261,87893,5213,6705,5043
2019-02-13,1414828,1271565,77162,50625,3757,7177,4542
2019-02-14,1372317,1232273,78128,48400,3355,5628,4533
2019-02-15,1472782,1300661,88883,68003,3924,5027,6284
2019-02-16,1529783,1350545,73092,93039,3208,4849,5050
2019-02-17,1329342,1128470,64269,123252,3209,5884,4258
2019-02-18,1472062,1157650,76920,183159,3736,45915,4682
2019-02-19,1563421,1290962,82044,128721,3558,52971,5165
2019-02-20,1492388,1237004,73122,121129,3342,53797,3994
2019-02-21,1443673,1246360,78544,57856,3098,53004,4811
2019-02-22,1289210,1097107,81336,50185,3293,53309,3980
2019-02-23,1351804,1162253,78092,52534,3029,52102,3794
2019-02-24,1388053,1194351,79529,54605,3178,52831,3559
2019-02-25,1451377,1266780,83754,43317,2980,51446,3100
2019-02-26,1625170,1418717,114566,34943,3097,50807,3040
2019-02-27,1725560,1393607,223334,50761,2968,51515,3375
2019-02-28,1666163,1338952,234026,36826,2885,50502,2972
2019-03-01,1650459,1322493,216602,54094,3174,50488,3608
2019-03-02,1670072,1450663,120158,68901,3093,24019,3238
2019-03-03,1630080,1485765,80802,52796,3086,4996,2635
2019-03-04,1902192,1675354,153974,61026,3494,5819,2525
2019-03-05,2361373,2166681,131815,50798,3501,5757,2821
2019-03-06,2672827,2532103,67940,60887,3559,5593,2745
2019-03-07,3014418,2855326,76838,71607,3353,4872,2422
2019-03-08,2820882,2562567,90614,157223,3388,4676,2414
2019-03-09,2667206,2497684,82211,75856,3367,5259,2829
2019-03-10,2565784,2387836,85566,79626,3503,5551,3702
2019-03-11,2648934,2393448,86204,155958,3800,5816,3708
2019-03-12,2746605,2583699,85014,66173,3679,5026,3014
2019-03-13,2851101,2659602,111715,66418,3883,5344,4139
2019-03-14,2952194,2764877,125678,48455,4128,4881,4175
2019-03-15,2847623,2629025,125571,79481,4003,4872,4671
2019-03-16,2548730,2385788,110622,40175,4009,4769,3367
2019-03-17,1916764,1767543,97835,39869,3779,4642,3096
2019-03-18,2276951,2061005,142467,61451,3919,4784,3325
2019-03-19,2308826,2092236,154461,49080,4099,5507,3443
2019-03-20,2097137,1913474,123283,47600,3894,5415,3471
2019-03-21,2450714,2199665,168553,52060,3560,23872,3004
2019-03-22,2305014,2072047,153577,65719,3627,6425,3619
2019-03-23,1802332,1606330,134252,49406,3807,4969,3568
2019-03-24,1494332,1328659,116972,36502,3630,5354,3215
2019-03-25,1634688,1377066,206440,38341,4122,5714,3005
2019-03-26,4278529,4114629,114315,35956,4131,5576,3922
2019-03-27,3066626,2862925,131187,58937,3910,5628,4039
2019-03-28,2727057,2560705,104647,49350,4049,5038,3268
2019-03-29,2079786,1911925,104697,51294,3860,4990,3020
2019-03-30,1835522,1652535,117195,54251,3759,4782,3000
2019-03-31,1870787,1654913,115263,87945,4156,5719,2791
2019-04-01,1630422,1406340,124268,85910,4429,5470,4005
2019-04-02,1590232,1347178,132944,96461,4481,5790,3378
