"Date(UTC)","UnixTimeStamp","Value"
"1/1/2021","1609459200","9260926490000000000"
"1/2/2021","1609545600","11171772061700000000"
"1/3/2021","1609632000","10689780083500000000"
"1/4/2021","1609718400","13142316697500000000"
"1/5/2021","1609804800","12195933872250000000"
"1/6/2021","1609891200","12606508026562935000"
"1/7/2021","1609977600","31639663505450000000"
"1/8/2021","1610064000","12565267011200000000"
"1/9/2021","1610150400","10620257240100000000"
"1/10/2021","1610236800","13023635258750000000"
"1/11/2021","1610323200","16052197638750000000"
"1/12/2021","1610409600","20489897890776638290"
"1/13/2021","1610496000","20542168331000000000"
"1/14/2021","1610582400","19525162701150000000"
"1/15/2021","1610668800","16614696831900000000"
"1/16/2021","1610755200","18381346857300000000"
"1/17/2021","1610841600","20198470364500000000"
"1/18/2021","1610928000","22509437048463695827"
"1/19/2021","1611014400","32430581131603777320"
"1/20/2021","1611100800","37800379690166444064"
"1/21/2021","1611187200","42864644867019156230"
"1/22/2021","1611273600","48464284737656487138"
"1/23/2021","1611360000","21580960371803883433"
"1/24/2021","1611446400","39378874144471094029"
"1/25/2021","1611532800","33756058464633868927"
"1/26/2021","1611619200","24024197872398298632"
"1/27/2021","1611705600","22531663306292236997"
"1/28/2021","1611792000","24910926519491296962"
"1/29/2021","1611878400","39711243940574157526"
"1/30/2021","1611964800","33819493693191819872"
"1/31/2021","1612051200","31997996683870101900"
"2/1/2021","1612137600","29994272386212227048"
"2/2/2021","1612224000","31600870443817644494"
"2/3/2021","1612310400","31117146904651654087"
"2/4/2021","1612396800","29473248233136970962"
"2/5/2021","1612483200","39485970675016308553"
"2/6/2021","1612569600","33022307668908118920"
"2/7/2021","1612656000","28770827184509469455"
"2/8/2021","1612742400","39192294969076597155"
"2/9/2021","1612828800","40817118389020681921"
"2/10/2021","1612915200","44623600252705451922"
"2/11/2021","1613001600","38139055622577376136"
"2/12/2021","1613088000","69946628723563829436"
"2/13/2021","1613174400","47676681221896002198"
"2/14/2021","1613260800","34380961273291068683"
"2/15/2021","1613347200","95790886725957237265"
"2/16/2021","1613433600","56288796680391567104"
"2/17/2021","1613520000","45523940579661039759"
"2/18/2021","1613606400","48467419504689086903"
"2/19/2021","1613692800","58181945662040970919"
"2/20/2021","1613779200","53067486817184504212"
