Date(UTC),UnixTimeStamp,Transaction Fee (?),Month,Year,Transaction Fee,Price in USD,Transaction Fee in USD,,,,,,,,,
12/25/20,1608854400,9.69354E+18,December,2020,9.693537423,0.02,0.193870748,,,,,,,,,
12/26/20,1608940800,9.36057E+18,December,2020,9.360569567,0.02,0.187211391,,,,,,,,,
12/27/20,1609027200,1.08219E+19,December,2020,10.8219075,0.02,0.21643815,,,,,,,,,
12/28/20,1609113600,1.06358E+19,December,2020,10.63576282,0.02,0.212715256,,,,,,,,,
12/29/20,1609200000,9.84233E+18,December,2020,9.842325804,0.02,0.196846516,,,,,,,,,
12/30/20,1609286400,1.00952E+19,December,2020,10.09516407,0.02,0.201903281,,,,,,,,,
12/31/20,1609372800,8.98733E+18,December,2020,8.987331036,0.02,0.179746621,,,,,,,,,
1/1/21,1609459200,9.26093E+18,January,2021,9.26092649,0.02,0.18521853,,,,,,,,,
1/2/21,1609545600,1.11718E+19,January,2021,11.17177206,0.02,0.223435441,,,,,,,,,
1/3/21,1609632000,1.06898E+19,January,2021,10.68978008,0.02,0.213795602,,,,,,,,,
1/4/21,1609718400,1.31423E+19,January,2021,13.1423167,0.02,0.262846334,,,,,,,,,
1/5/21,1609804800,1.21959E+19,January,2021,12.19593387,0.02,0.243918677,,,,,,,,,
1/6/21,1609891200,1.26065E+19,January,2021,12.60650803,0.03,0.378195241,,,,,,,,,
1/7/21,1609977600,3.16397E+19,January,2021,31.63966351,0.03,0.949189905,,,,,,,,,
1/8/21,1610064000,1.25653E+19,January,2021,12.56526701,0.03,0.37695801,,,,,,,,,
1/9/21,1610150400,1.06203E+19,January,2021,10.62025724,0.03,0.318607717,,,,,,,,,
1/10/21,1610236800,1.30236E+19,January,2021,13.02363526,0.03,0.390709058,,,,,,,,,
1/11/21,1610323200,1.60522E+19,January,2021,16.05219764,0.03,0.481565929,,,,,,,,,
1/12/21,1610409600,2.04899E+19,January,2021,20.48989789,0.03,0.614696937,,,,,,,,,
1/13/21,1610496000,2.05422E+19,January,2021,20.54216833,0.03,0.61626505,,,,,,,,,
1/14/21,1610582400,1.95252E+19,January,2021,19.5251627,0.03,0.585754881,,,,,,,,,
1/15/21,1610668800,1.66147E+19,January,2021,16.61469683,0.03,0.498440905,,,,,,,,,
1/16/21,1610755200,1.83813E+19,January,2021,18.38134686,0.03,0.551440406,,,,,,,,,
1/17/21,1610841600,2.01985E+19,January,2021,20.19847036,0.03,0.605954111,,,,,,,,,
1/18/21,1610928000,2.25094E+19,January,2021,22.50943705,0.04,0.900377482,,,,,,,,,
1/19/21,1611014400,3.24306E+19,January,2021,32.43058113,0.03,0.972917434,,,,,,,,,
1/20/21,1611100800,3.78004E+19,January,2021,37.80037969,0.03,1.134011391,,,,,,,,,
1/21/21,1611187200,4.28646E+19,January,2021,42.86464487,0.03,1.285939346,,,,,,,,,
1/22/21,1611273600,4.84643E+19,January,2021,48.46428474,0.03,1.453928542,,,,,,,,,
1/23/21,1611360000,2.1581E+19,January,2021,21.58096037,0.03,0.647428811,,,,,,,,,
1/24/21,1611446400,3.93789E+19,January,2021,39.37887414,0.03,1.181366224,,,,,,,,,
1/25/21,1611532800,3.37561E+19,January,2021,33.75605846,0.03,1.012681754,,,,,,,,,
1/26/21,1611619200,2.40242E+19,January,2021,24.02419787,0.04,0.960967915,,,,,,,,,
1/27/21,1611705600,2.25317E+19,January,2021,22.53166331,0.04,0.901266532,,,,,,,,,
1/28/21,1611792000,2.49109E+19,January,2021,24.91092652,0.04,0.996437061,,,,,,,,,
1/29/21,1611878400,3.97112E+19,January,2021,39.71124394,0.04,1.588449758,,,,,,,,,
1/30/21,1611964800,3.38195E+19,January,2021,33.81949369,0.04,1.352779748,,,,,,,,,
1/31/21,1612051200,3.1998E+19,January,2021,31.99799668,0.04,1.279919867,,,,,,,,,
2/1/21,1612137600,2.99943E+19,February,2021,29.99427239,0.04,1.199770895,,,,,,,,,
2/2/21,1612224000,3.16009E+19,February,2021,31.60087044,0.04,1.264034818,,,,,,,,,
2/3/21,1612310400,3.11171E+19,February,2021,31.1171469,0.04,1.244685876,,,,,,,,,
2/4/21,1612396800,2.94732E+19,February,2021,29.47324823,0.05,1.473662412,,,,,,,,,
2/5/21,1612483200,3.9486E+19,February,2021,39.48597068,0.05,1.974298534,,,,,,,,,
2/6/21,1612569600,3.30223E+19,February,2021,33.02230767,0.05,1.651115383,,,,,,,,,
2/7/21,1612656000,2.87708E+19,February,2021,28.77082718,0.07,2.013957903,,,,,,,,,
2/8/21,1612742400,3.91923E+19,February,2021,39.19229497,0.07,2.743460648,,,,,,,,,
2/9/21,1612828800,4.08171E+19,February,2021,40.81711839,0.1,4.081711839,,,,,,,,,
2/10/21,1612915200,4.46236E+19,February,2021,44.62360025,0.12,5.35483203,,,,,,,,,
2/11/21,1613001600,3.81391E+19,February,2021,38.13905562,0.12,4.576686675,,,,,,,,,
2/12/21,1613088000,6.99466E+19,February,2021,69.94662872,0.12,8.393595447,,,,,,,,,
2/13/21,1613174400,4.76767E+19,February,2021,47.67668122,0.11,5.244434934,,,,,,,,,
2/14/21,1613260800,3.4381E+19,February,2021,34.38096127,0.1,3.438096127,,,,,,,,,
