Date(UTC),Month,Year,UnixTimeStamp,Transaction Fee (gWei?),BSC Token Transaction Fee,Price,Transaction Fee in USD,,,,
12/13/20,December,2020,1607817600,3.0846E+20,308.4596981,29.12,8982.346408,,,,
12/14/20,December,2020,1607904000,3.61397E+20,361.3973919,30.03,10852.76368,,,,
12/15/20,December,2020,1607990400,3.30212E+20,330.2121612,29.53,9751.16512,,,,
12/16/20,December,2020,1608076800,3.66172E+20,366.1718726,30.55,11186.55071,,,,
12/17/20,December,2020,1608163200,3.75016E+20,375.0163737,30.24,11340.49514,,,,
12/18/20,December,2020,1608249600,4.31416E+20,431.4162126,30.96,13356.64594,,,,
12/19/20,December,2020,1608336000,5.42029E+20,542.0285343,33.31,18054.97048,,,,
12/20/20,December,2020,1608422400,4.82302E+20,482.3017997,34.26,16523.65966,,,,
12/21/20,December,2020,1608508800,7.4796E+20,747.9602748,32.18,24069.36164,,,,
12/22/20,December,2020,1608595200,8.24876E+20,824.8757753,33.54,27666.3335,,,,
12/23/20,December,2020,1608681600,9.1518E+20,915.1795871,31.19,28544.45132,,,,
12/24/20,December,2020,1608768000,8.80617E+20,880.6165074,32.5,28620.03649,,,,
12/25/20,December,2020,1608854400,6.50367E+20,650.3671845,33.18,21579.18318,,,,
12/26/20,December,2020,1608940800,6.13983E+20,613.9834515,33.56,20605.28463,,,,
12/27/20,December,2020,1609027200,6.81225E+20,681.2250177,33.6,22889.16059,,,,
12/28/20,December,2020,1609113600,6.78439E+20,678.4388428,35.88,24342.38568,,,,
12/29/20,December,2020,1609200000,7.80002E+20,780.0015204,39.04,30451.25936,,,,
12/30/20,December,2020,1609286400,7.09095E+20,709.0947124,38.13,27037.78139,,,,
12/31/20,December,2020,1609372800,8.59525E+20,859.5245347,37.4,32146.2176,,,,
1/1/21,January,2021,1609459200,7.40064E+20,740.0637341,37.76,27944.8066,,,,
1/2/21,January,2021,1609545600,8.11624E+20,811.6244542,38.29,31077.10035,,,,
1/3/21,January,2021,1609632000,9.22948E+20,922.9483074,41.36,38173.14199,,,,
1/4/21,January,2021,1609718400,9.74883E+20,974.8831702,41.1,40067.69829,,,,
1/5/21,January,2021,1609804800,9.06058E+20,906.0580497,41.9,37963.83228,,,,
1/6/21,January,2021,1609891200,8.22902E+20,822.9016103,42.27,34784.05107,,,,
1/7/21,January,2021,1609977600,9.24969E+20,924.968942,43.62,40347.14525,,,,
1/8/21,January,2021,1610064000,9.23158E+20,923.1583634,42.38,39123.45144,,,,
1/9/21,January,2021,1610150400,8.48004E+20,848.0044898,43.94,37261.31728,,,,
1/10/21,January,2021,1610236800,8.74405E+20,874.4047586,42.44,37109.73795,,,,
1/11/21,January,2021,1610323200,9.42515E+20,942.5149156,38.16,35966.36918,,,,
1/12/21,January,2021,1610409600,7.51064E+20,751.0640272,38.25,28728.19904,,,,
1/13/21,January,2021,1610496000,8.40289E+20,840.2888376,40.15,33737.59683,,,,
