Date(UTC),UnixTimeStamp,Block Time,Block Size,Block Count,Month,Year,,,,
5/1/21,1619827200,3.02,1419,115658,May,2021,,,,
5/2/21,1619913600,747.5,1477,117571,May,2021,,,,
5/3/21,1620000000,3.04,1523,118887,May,2021,,,,
5/4/21,1620086400,3.01,2224,80370,May,2021,,,,
5/5/21,1620172800,3.07,2086,120261,May,2021,,,,
5/6/21,1620259200,3.08,2039,119885,May,2021,,,,
5/7/21,1620345600,3.06,1895,119896,May,2021,,,,
5/8/21,1620432000,3.1,2058,123915,May,2021,,,,
5/9/21,1620518400,3.15,2041,122698,May,2021,,,,
5/10/21,1620604800,866.41,1931,120827,May,2021,,,,
5/11/21,1620691200,873.8,2016,60491,May,2021,,,,
5/12/21,1620777600,3.27,2205,117044,May,2021,,,,
5/13/21,1620864000,3.06,2350,115186,May,2021,,,,
5/14/21,1620950400,3.04,3045,120046,May,2021,,,,
5/15/21,1621036800,3.08,2522,109510,May,2021,,,,
5/16/21,1621123200,3.04,1526,101576,May,2021,,,,
5/17/21,1621209600,3.03,1847,108909,May,2021,,,,
5/18/21,1621296000,3.06,1662,57720,May,2021,,,,
5/19/21,1621382400,3.04,2926,110731,May,2021,,,,
5/20/21,1621468800,3.02,2561,109298,May,2021,,,,
5/21/21,1621555200,3.02,2690,112886,May,2021,,,,
5/22/21,1621641600,3,3384,122463,May,2021,,,,
5/23/21,1621728000,3.01,3388,104726,May,2021,,,,
5/24/21,1621814400,3.01,3113,119513,May,2021,,,,
5/25/21,1621900800,3.01,2963,125746,May,2021,,,,
5/26/21,1621987200,3.04,2679,125435,May,2021,,,,
5/27/21,1622073600,3.02,2439,128036,May,2021,,,,
5/28/21,1622160000,3.01,2699,127725,May,2021,,,,
5/29/21,1622246400,3.01,2629,126957,May,2021,,,,
5/30/21,1622332800,3.01,2384,128220,May,2021,,,,
5/31/21,1622419200,3.02,2364,124866,May,2021,,,,
6/1/21,1622505600,3.01,2352,125892,June,2021,,,,
6/2/21,1622592000,3.01,2291,117703,June,2021,,,,
6/3/21,1622678400,3.01,2665,123737,June,2021,,,,
6/4/21,1622764800,3.01,1786,101183,June,2021,,,,
6/5/21,1622851200,3.01,1642,80483,June,2021,,,,
6/6/21,1622937600,3.01,1431,80011,June,2021,,,,
6/7/21,1623024000,3,1720,86140,June,2021,,,,
6/8/21,1623110400,3.01,2367,78949,June,2021,,,,
6/9/21,1623196800,3.01,2524,77408,June,2021,,,,
6/10/21,1623283200,3.01,2360,78880,June,2021,,,,
6/11/21,1623369600,3.01,2545,79925,June,2021,,,,
6/12/21,1623456000,3.01,2146,80329,June,2021,,,,
6/13/21,1623542400,3.03,2758,80896,June,2021,,,,
6/14/21,1623628800,3.04,2485,80409,June,2021,,,,
6/15/21,1623715200,3.04,2383,80135,June,2021,,,,
6/16/21,1623801600,3.02,2814,77009,June,2021,,,,
6/17/21,1623888000,3.03,3064,83096,June,2021,,,,
6/18/21,1623974400,3.03,2811,87435,June,2021,,,,
6/19/21,1624060800,3.02,2282,88194,June,2021,,,,
6/20/21,1624147200,3,2168,87391,June,2021,,,,
6/21/21,1624233600,3.01,3222,89061,June,2021,,,,
6/22/21,1624320000,3.02,4333,86501,June,2021,,,,
6/23/21,1624406400,3.01,2556,85268,June,2021,,,,
6/24/21,1624492800,3.01,1929,84170,June,2021,,,,
6/25/21,1624579200,3.01,2020,84000,June,2021,,,,
6/26/21,1624665600,3,1934,79099,June,2021,,,,
6/27/21,1624752000,3.01,1753,71438,June,2021,,,,
6/28/21,1624838400,3.02,1817,77744,June,2021,,,,
6/29/21,1624924800,3.02,2168,75602,June,2021,,,,
6/30/21,1625011200,3.03,2152,72869,June,2021,,,,
7/1/21,1625097600,3.03,2575,77637,July,2021,,,,
7/2/21,1625184000,3.04,1958,80911,July,2021,,,,
7/3/21,1625270400,3.03,1732,81623,July,2021,,,,
7/4/21,1625356800,3.02,2131,73169,July,2021,,,,
7/5/21,1625443200,3.03,1896,67221,July,2021,,,,
7/6/21,1625529600,3.02,2441,74809,July,2021,,,,
7/7/21,1625616000,3,2032,77698,July,2021,,,,
7/8/21,1625702400,3,1829,73023,July,2021,,,,
7/9/21,1625788800,3,1749,76836,July,2021,,,,
7/10/21,1625875200,3,1470,76056,July,2021,,,,
7/11/21,1625961600,3,1448,76527,July,2021,,,,
7/12/21,1626048000,3,1585,79861,July,2021,,,,
7/13/21,1626134400,3,1737,79320,July,2021,,,,
7/14/21,1626220800,3,1827,81957,July,2021,,,,
7/15/21,1626307200,3,2085,81380,July,2021,,,,
7/16/21,1626393600,3,2182,79256,July,2021,,,,
7/17/21,1626480000,3,2077,72989,July,2021,,,,
7/18/21,1626566400,3,1876,74523,July,2021,,,,
7/19/21,1626652800,3,2538,76249,July,2021,,,,
7/20/21,1626739200,3,3024,75926,July,2021,,,,
7/21/21,1626825600,3,2841,76424,July,2021,,,,
7/22/21,1626912000,3,1958,75707,July,2021,,,,
7/23/21,1626998400,3.02,1981,76635,July,2021,,,,
7/24/21,1627084800,3.03,1845,75927,July,2021,,,,
7/25/21,1627171200,3.03,1933,76123,July,2021,,,,
7/26/21,1627257600,3.07,3130,82669,July,2021,,,,
7/27/21,1627344000,3.24,2405,88792,July,2021,,,,
7/28/21,1627430400,3.23,1680,89530,July,2021,,,,
7/29/21,1627516800,3.19,2289,85551,July,2021,,,,
7/30/21,1627603200,3.05,1813,81244,July,2021,,,,
7/31/21,1627689600,3.07,1628,78190,July,2021,,,,
8/1/21,1627776000,3.11,1723,85673,August,2021,,,,
8/2/21,1627862400,3.09,1633,90499,August,2021,,,,
8/3/21,1627948800,3.18,1808,91210,August,2021,,,,
8/4/21,1628035200,3.1,2863,89186,August,2021,,,,
8/5/21,1628121600,3.08,1886,87275,August,2021,,,,
8/6/21,1628208000,3.11,1747,87076,August,2021,,,,
8/7/21,1628294400,3.09,1657,80579,August,2021,,,,
8/8/21,1628380800,3.07,1780,79008,August,2021,,,,
8/9/21,1628467200,3.06,2037,78318,August,2021,,,,
8/10/21,1628553600,3.07,1784,80711,August,2021,,,,
8/11/21,1628640000,3.12,2067,82039,August,2021,,,,
8/12/21,1628726400,3.05,1755,81512,August,2021,,,,
8/13/21,1628812800,3.07,1971,79821,August,2021,,,,
8/14/21,1628899200,3.02,1762,78568,August,2021,,,,
8/15/21,1628985600,3,1520,77949,August,2021,,,,
8/16/21,1629072000,3.01,2758,82493,August,2021,,,,
8/17/21,1629158400,3.01,3217,82551,August,2021,,,,
8/18/21,1629244800,3,2622,78997,August,2021,,,,
8/19/21,1629331200,3.03,2861,80574,August,2021,,,,
8/20/21,1629417600,3.02,2143,82537,August,2021,,,,
8/21/21,1629504000,3.03,2719,80011,August,2021,,,,
8/22/21,1629590400,3.01,2207,87914,August,2021,,,,
8/23/21,1629676800,3.02,2386,88106,August,2021,,,,
8/24/21,1629763200,3.01,2089,85283,August,2021,,,,
8/25/21,1629849600,3.02,2312,84188,August,2021,,,,
8/26/21,1629936000,3,2044,83197,August,2021,,,,
8/27/21,1630022400,3.12,1719,82427,August,2021,,,,
8/28/21,1630108800,3.04,1838,82469,August,2021,,,,
8/29/21,1630195200,3.01,2251,86728,August,2021,,,,
8/30/21,1630281600,3.06,7845,75743,August,2021,,,,
8/31/21,1630368000,3.05,4313,85760,August,2021,,,,
9/1/21,1630454400,3.04,3596,84828,September,2021,,,,
9/2/21,1630540800,3.03,2600,89578,September,2021,,,,
9/3/21,1630627200,3.04,3385,89976,September,2021,,,,
9/4/21,1630713600,3.01,3969,89478,September,2021,,,,
9/5/21,1630800000,3.01,3605,92875,September,2021,,,,
9/6/21,1630886400,3.02,5673,86854,September,2021,,,,
9/7/21,1630972800,3.06,7816,77751,September,2021,,,,
9/8/21,1631059200,3.03,7600,74877,September,2021,,,,
9/9/21,1631145600,3.03,6655,73412,September,2021,,,,
9/10/21,1631232000,3.04,5817,72746,September,2021,,,,
9/11/21,1631318400,3.03,6754,61742,September,2021,,,,
9/12/21,1631404800,3,7747,55875,September,2021,,,,
9/13/21,1631491200,3.01,9170,49629,September,2021,,,,
9/14/21,1631577600,3.01,10387,43645,September,2021,,,,
9/15/21,1631664000,3.01,9256,49143,September,2021,,,,
9/16/21,1631750400,3.01,6771,51160,September,2021,,,,
9/17/21,1631836800,3,6940,48857,September,2021,,,,
9/18/21,1631923200,3.01,5974,56710,September,2021,,,,
9/19/21,1632009600,3.03,6018,61759,September,2021,,,,
9/20/21,1632096000,3.01,5777,64578,September,2021,,,,
9/21/21,1632182400,3.02,5721,65609,September,2021,,,,
9/22/21,1632268800,3.02,7124,51685,September,2021,,,,
9/23/21,1632355200,3.02,6883,50992,September,2021,,,,
9/24/21,1632441600,3.01,6688,58486,September,2021,,,,
9/25/21,1632528000,3.02,5257,68406,September,2021,,,,
9/26/21,1632614400,3.02,5048,68119,September,2021,,,,
9/27/21,1632700800,3.03,5495,66603,September,2021,,,,
9/28/21,1632787200,3.04,5909,67453,September,2021,,,,
9/29/21,1632873600,3.03,5132,63923,September,2021,,,,
9/30/21,1632960000,3.03,4689,68861,September,2021,,,,
10/1/21,1633046400,3.04,4418,73041,October,2021,,,,
10/2/21,1633132800,3.03,4225,73891,October,2021,,,,
10/3/21,1633219200,3.01,4434,73250,October,2021,,,,
10/4/21,1633305600,3,4875,76110,October,2021,,,,
10/5/21,1633392000,3,5264,71726,October,2021,,,,
10/6/21,1633478400,3,5085,78743,October,2021,,,,
10/7/21,1633564800,3,5967,80165,October,2021,,,,
10/8/21,1633651200,3.01,5873,79919,October,2021,,,,
10/9/21,1633737600,3.01,4515,79038,October,2021,,,,
10/10/21,1633824000,3.01,4678,78063,October,2021,,,,
10/11/21,1633910400,3.09,4658,81067,October,2021,,,,
10/12/21,1633996800,3.01,4225,82991,October,2021,,,,
10/13/21,1634083200,3.06,4022,80718,October,2021,,,,
10/14/21,1634169600,3.01,3873,80601,October,2021,,,,
10/15/21,1634256000,3.01,3859,83929,October,2021,,,,
10/16/21,1634342400,3.02,3120,85881,October,2021,,,,
10/17/21,1634428800,3.02,3680,86139,October,2021,,,,
10/18/21,1634515200,3.02,3567,84705,October,2021,,,,
10/19/21,1634601600,3.07,3989,86508,October,2021,,,,
10/20/21,1634688000,3.02,3262,87519,October,2021,,,,
10/21/21,1634774400,3.06,3703,85100,October,2021,,,,
10/22/21,1634860800,3.07,3735,85959,October,2021,,,,
10/23/21,1634947200,3.02,2653,100586,October,2021,,,,
10/24/21,1635033600,3.05,3027,101167,October,2021,,,,
10/25/21,1635120000,3.02,3153,100416,October,2021,,,,
10/26/21,1635206400,3.02,3852,98873,October,2021,,,,
10/27/21,1635292800,3.05,4351,98283,October,2021,,,,
10/28/21,1635379200,3.04,3874,98006,October,2021,,,,
10/29/21,1635465600,3.11,2892,99350,October,2021,,,,
10/30/21,1635552000,3.03,3198,96222,October,2021,,,,
10/31/21,1635638400,3.02,3002,99092,October,2021,,,,
11/1/21,1635724800,3.1,3206,98922,November,2021,,,,
11/2/21,1635811200,3.07,3518,97615,November,2021,,,,
11/3/21,1635897600,3.14,3584,100331,November,2021,,,,
11/4/21,1635984000,3.11,3159,100823,November,2021,,,,
11/5/21,1636070400,3.03,3615,100865,November,2021,,,,
11/6/21,1636156800,3.03,3262,99498,November,2021,,,,
11/7/21,1636243200,3.01,3713,98049,November,2021,,,,
11/8/21,1636329600,3.03,3776,98347,November,2021,,,,
11/9/21,1636416000,3.03,3424,97841,November,2021,,,,
11/10/21,1636502400,3.14,4024,97272,November,2021,,,,
11/11/21,1636588800,3.08,3488,97723,November,2021,,,,
11/12/21,1636675200,3.12,3354,96953,November,2021,,,,
11/13/21,1636761600,3.07,3027,97275,November,2021,,,,
11/14/21,1636848000,3.1,3031,97092,November,2021,,,,
11/15/21,1636934400,3.17,3420,98041,November,2021,,,,
11/16/21,1637020800,3.18,3942,96966,November,2021,,,,
11/17/21,1637107200,3.21,3888,96743,November,2021,,,,
11/18/21,1637193600,3.12,4165,95272,November,2021,,,,
11/19/21,1637280000,3.13,3803,95227,November,2021,,,,
11/20/21,1637366400,3.13,3516,95696,November,2021,,,,
11/21/21,1637452800,3.06,3370,97455,November,2021,,,,
11/22/21,1637539200,3.08,3669,97867,November,2021,,,,
11/23/21,1637625600,3.13,4226,97081,November,2021,,,,
11/24/21,1637712000,3.13,4330,94197,November,2021,,,,
11/25/21,1637798400,3.25,3694,97637,November,2021,,,,
11/26/21,1637884800,3.36,3937,96122,November,2021,,,,
11/27/21,1637971200,3.23,3235,97890,November,2021,,,,
11/28/21,1638057600,3.23,3709,95273,November,2021,,,,
11/29/21,1638144000,3.3,3597,98121,November,2021,,,,
