Date(UTC),UnixTimeStamp,Block Count,Block Size,Block Time,Month,Year,,,,,,,
9/23/20,1600819200,17274,818,5,September,2020,,,,,,,
9/24/20,1600905600,17277,843,5,September,2020,,,,,,,
9/25/20,1600992000,17280,889,5,September,2020,,,,,,,
9/26/20,1601078400,17279,837,5,September,2020,,,,,,,
9/27/20,1601164800,17280,885,5,September,2020,,,,,,,
9/28/20,1601251200,17280,860,5,September,2020,,,,,,,
9/29/20,1601337600,17280,837,5,September,2020,,,,,,,
9/30/20,1601424000,17280,900,5,September,2020,,,,,,,
10/1/20,1601510400,17275,988,5,October,2020,,,,,,,
10/2/20,1601596800,17280,972,5,October,2020,,,,,,,
10/3/20,1601683200,17280,898,5,October,2020,,,,,,,
10/4/20,1601769600,17275,889,5,October,2020,,,,,,,
10/5/20,1601856000,17280,892,5,October,2020,,,,,,,
10/6/20,1601942400,17280,882,5,October,2020,,,,,,,
10/7/20,1602028800,17280,842,5,October,2020,,,,,,,
10/8/20,1602115200,17278,836,5,October,2020,,,,,,,
10/9/20,1602201600,17279,908,5,October,2020,,,,,,,
10/10/20,1602288000,17280,897,5,October,2020,,,,,,,
10/11/20,1602374400,17280,903,5,October,2020,,,,,,,
10/12/20,1602460800,17280,895,5,October,2020,,,,,,,
10/13/20,1602547200,17280,844,5,October,2020,,,,,,,
10/14/20,1602633600,17280,920,5,October,2020,,,,,,,
10/15/20,1602720000,17277,946,5,October,2020,,,,,,,
10/16/20,1602806400,17280,915,5,October,2020,,,,,,,
10/17/20,1602892800,17280,850,5,October,2020,,,,,,,
10/18/20,1602979200,17278,887,5,October,2020,,,,,,,
10/19/20,1603065600,17279,847,5,October,2020,,,,,,,
10/20/20,1603152000,17280,860,5,October,2020,,,,,,,
10/21/20,1603238400,17280,885,5,October,2020,,,,,,,
10/22/20,1603324800,17279,904,5,October,2020,,,,,,,
10/23/20,1603411200,17280,860,5,October,2020,,,,,,,
10/24/20,1603497600,17276,805,5,October,2020,,,,,,,
10/25/20,1603584000,17275,807,5,October,2020,,,,,,,
10/26/20,1603670400,17276,810,5,October,2020,,,,,,,
10/27/20,1603756800,17280,813,5,October,2020,,,,,,,
10/28/20,1603843200,17275,816,5,October,2020,,,,,,,
10/29/20,1603929600,17275,818,5,October,2020,,,,,,,
10/30/20,1604016000,17279,818,5,October,2020,,,,,,,
10/31/20,1604102400,17280,814,5,October,2020,,,,,,,
11/1/20,1604188800,17280,814,5,November,2020,,,,,,,
11/2/20,1604275200,17280,814,5,November,2020,,,,,,,
11/3/20,1604361600,17279,815,5,November,2020,,,,,,,
11/4/20,1604448000,17280,817,5,November,2020,,,,,,,
11/5/20,1604534400,17279,816,5,November,2020,,,,,,,
11/6/20,1604620800,17280,840,5,November,2020,,,,,,,
11/7/20,1604707200,17280,823,5,November,2020,,,,,,,
11/8/20,1604793600,17280,810,5,November,2020,,,,,,,
11/9/20,1604880000,17280,822,5,November,2020,,,,,,,
11/10/20,1604966400,17279,940,5,November,2020,,,,,,,
11/11/20,1605052800,17280,893,5,November,2020,,,,,,,
11/12/20,1605139200,17276,826,5,November,2020,,,,,,,
11/13/20,1605225600,17276,827,5,November,2020,,,,,,,
11/14/20,1605312000,17280,811,5,November,2020,,,,,,,
11/15/20,1605398400,17279,808,5,November,2020,,,,,,,
11/16/20,1605484800,17279,815,5,November,2020,,,,,,,
11/17/20,1605571200,17280,812,5,November,2020,,,,,,,
11/18/20,1605657600,17279,811,5,November,2020,,,,,,,
11/19/20,1605744000,17280,808,5,November,2020,,,,,,,
11/20/20,1605830400,17279,808,5,November,2020,,,,,,,
11/21/20,1605916800,17280,833,5,November,2020,,,,,,,
11/22/20,1606003200,17280,912,5,November,2020,,,,,,,
