Date(UTC),UnixTimeStamp,Block Count,Block Size,Block Time,Month,Year,,,,,,,,,
3/18/21,1616025600,16045,890,5.38,March,2021,,,,,,,,,
3/19/21,1616112000,18607,929,4.64,March,2021,,,,,,,,,
3/20/21,1616198400,19092,919,4.53,March,2021,,,,,,,,,
3/21/21,1616284800,13455,886,6.42,March,2021,,,,,,,,,
3/22/21,1616371200,15691,863,5.51,March,2021,,,,,,,,,
3/23/21,1616457600,15535,898,5.56,March,2021,,,,,,,,,
3/24/21,1616544000,11644,855,7.42,March,2021,,,,,,,,,
3/25/21,1616630400,9618,888,8.98,March,2021,,,,,,,,,
3/26/21,1616716800,9280,854,9.31,March,2021,,,,,,,,,
3/27/21,1616803200,9698,850,8.91,March,2021,,,,,,,,,
3/28/21,1616889600,42160,1083,2.05,March,2021,,,,,,,,,
3/29/21,1616976000,21608,944,4,March,2021,,,,,,,,,
3/30/21,1617062400,16650,940,5.19,March,2021,,,,,,,,,
3/31/21,1617148800,13180,894,6.56,March,2021,,,,,,,,,
4/1/21,1617235200,27597,1050,3.13,April,2021,,,,,,,,,
4/2/21,1617321600,20352,956,4.25,April,2021,,,,,,,,,
4/3/21,1617408000,17395,912,4.97,April,2021,,,,,,,,,
4/4/21,1617494400,15315,888,5.64,April,2021,,,,,,,,,
4/5/21,1617580800,19176,930,4.51,April,2021,,,,,,,,,
4/6/21,1617667200,18320,953,4.72,April,2021,,,,,,,,,
4/7/21,1617753600,16192,944,5.34,April,2021,,,,,,,,,
4/8/21,1617840000,15267,964,5.66,April,2021,,,,,,,,,
4/9/21,1617926400,12809,947,6.74,April,2021,,,,,,,,,
4/10/21,1618012800,11652,981,7.42,April,2021,,,,,,,,,
4/11/21,1618099200,9133,954,9.46,April,2021,,,,,,,,,
4/12/21,1618185600,12010,982,7.19,April,2021,,,,,,,,,
4/13/21,1618272000,10464,922,8.26,April,2021,,,,,,,,,
4/14/21,1618358400,14408,964,6,April,2021,,,,,,,,,
4/15/21,1618444800,12299,964,7.02,April,2021,,,,,,,,,
4/16/21,1618531200,9298,971,9.29,April,2021,,,,,,,,,
4/17/21,1618617600,9684,981,8.92,April,2021,,,,,,,,,
4/18/21,1618704000,13571,1080,6.37,April,2021,,,,,,,,,
4/19/21,1618790400,14987,975,5.77,April,2021,,,,,,,,,
4/20/21,1618876800,17848,1134,4.84,April,2021,,,,,,,,,
4/21/21,1618963200,22342,965,3.87,April,2021,,,,,,,,,
4/22/21,1619049600,18915,912,4.57,April,2021,,,,,,,,,
4/23/21,1619136000,16685,918,5.18,April,2021,,,,,,,,,
4/24/21,1619222400,12057,870,7.17,April,2021,,,,,,,,,
4/25/21,1619308800,12330,911,7.01,April,2021,,,,,,,,,
4/26/21,1619395200,12917,898,6.69,April,2021,,,,,,,,,
4/27/21,1619481600,11418,903,7.57,April,2021,,,,,,,,,
4/28/21,1619568000,18232,953,4.74,April,2021,,,,,,,,,
4/29/21,1619654400,19208,936,4.5,April,2021,,,,,,,,,
4/30/21,1619740800,32835,1131,2.63,April,2021,,,,,,,,,
5/1/21,1619827200,39430,1250,2.19,May,2021,,,,,,,,,
5/2/21,1619913600,30443,1045,2.84,May,2021,,,,,,,,,
5/3/21,1620000000,32278,1156,2.68,May,2021,,,,,,,,,
5/4/21,1620086400,29097,1031,2.97,May,2021,,,,,,,,,
5/5/21,1620172800,26499,971,3.26,May,2021,,,,,,,,,
5/6/21,1620259200,31101,1032,2.78,May,2021,,,,,,,,,
5/7/21,1620345600,32850,1048,2.63,May,2021,,,,,,,,,
5/8/21,1620432000,29149,989,2.96,May,2021,,,,,,,,,
5/9/21,1620518400,27753,960,3.11,May,2021,,,,,,,,,
5/10/21,1620604800,28176,999,3.07,May,2021,,,,,,,,,
5/11/21,1620691200,27558,958,3.14,May,2021,,,,,,,,,
5/12/21,1620777600,31537,982,2.74,May,2021,,,,,,,,,
5/13/21,1620864000,31979,1047,2.7,May,2021,,,,,,,,,
5/14/21,1620950400,30316,1258,2.85,May,2021,,,,,,,,,
5/15/21,1621036800,28907,992,2.99,May,2021,,,,,,,,,
5/16/21,1621123200,29297,1009,2.95,May,2021,,,,,,,,,
5/17/21,1621209600,30133,1028,2.87,May,2021,,,,,,,,,
5/18/21,1621296000,26261,960,3.29,May,2021,,,,,,,,,
5/19/21,1621382400,34509,1070,2.5,May,2021,,,,,,,,,
5/20/21,1621468800,25634,970,3.37,May,2021,,,,,,,,,
5/21/21,1621555200,22934,952,3.77,May,2021,,,,,,,,,
5/22/21,1621641600,19001,950,4.55,May,2021,,,,,,,,,
5/23/21,1621728000,25953,999,3.33,May,2021,,,,,,,,,
5/24/21,1621814400,23268,975,3.71,May,2021,,,,,,,,,
5/25/21,1621900800,20783,943,4.16,May,2021,,,,,,,,,
5/26/21,1621987200,17551,903,4.92,May,2021,,,,,,,,,
5/27/21,1622073600,15460,907,5.59,May,2021,,,,,,,,,
5/28/21,1622160000,15035,983,5.75,May,2021,,,,,,,,,
5/29/21,1622246400,14635,964,5.9,May,2021,,,,,,,,,
5/30/21,1622332800,12306,931,7.02,May,2021,,,,,,,,,
5/31/21,1622419200,13858,958,6.23,May,2021,,,,,,,,,
6/1/21,1622505600,19506,1239,4.43,June,2021,,,,,,,,,
6/2/21,1622592000,16329,999,5.29,June,2021,,,,,,,,,
6/3/21,1622678400,14751,951,5.86,June,2021,,,,,,,,,
6/4/21,1622764800,13040,958,6.63,June,2021,,,,,,,,,
6/5/21,1622851200,10669,951,8.1,June,2021,,,,,,,,,
6/6/21,1622937600,9402,896,9.19,June,2021,,,,,,,,,
6/7/21,1623024000,12734,945,6.79,June,2021,,,,,,,,,
6/8/21,1623110400,12083,938,7.15,June,2021,,,,,,,,,
6/9/21,1623196800,11746,949,7.36,June,2021,,,,,,,,,
6/10/21,1623283200,11293,917,7.65,June,2021,,,,,,,,,
6/11/21,1623369600,11146,921,7.75,June,2021,,,,,,,,,
6/12/21,1623456000,9698,911,8.91,June,2021,,,,,,,,,
